"id","pH","X","Y","soil"
"P0752",6.6,21.65524862,41.69042462,"Complex of Mollic and Umbric Leptosol, Regosol and Leptosol"
"P0753",6.1,21.6334562,41.6890971,"Complex of Mollic and Umbric Leptosol, Regosol and Leptosol"
"P0754",6.08997606916782,21.61015197,41.68277607,"Regosol"
"P0755",6.1,21.60942421,41.69475572,"Complex of Mollic and Umbric Leptosol, Regosol and Leptosol"
"P0757",5.9,21.63962709,41.664472,"Complex of Mollic and Umbric Leptosol, Regosol and Leptosol"
"P0759",6.32839105339105,21.61431115,41.64900547,"Complex of Mollic and Umbric Leptosol, Regosol and Leptosol"
"P0761",5.98020948248734,21.63525518,41.62648861,"Complex of Chromic Luvisol on saprolite and Regosol"
"P0762",6.50065797536087,21.68154563,41.63584021,"Fluvisol"
"P0763",6.68487934215732,21.66415767,41.63857128,"Fluvisol"
"P0764",8.01410280100805,21.72918431,41.66775657,"Fluvisol"
"P0766",6.9,21.70790094,41.63559088,"Complex of Mollic and Umbric Leptosol, Regosol and Leptosol"
"P0769",5.25493014944769,21.68137363,41.61950719,"Complex of Mollic and Umbric Leptosol, Regosol and Leptosol"
"P0770",5.83579138530796,21.6105549,41.62244439,"Complex of Cambisol and Regosol"
"P0771",5.83579138530796,21.65993129,41.61491395,"Complex of Chromic Luvisol on saprolite and Regosol"
"P0772",6,21.63865285,41.60351741,"Complex of Mollic and Umbric Leptosol, Regosol and Leptosol"
"P0773",6.9,21.67884919,41.59847869,"Complex of Chromic Luvisol on saprolite and Regosol"
"P0774",6.83022230822153,21.6323509,41.58839769,"Cambisol"
"P0775",6.7,21.71294203,41.59854246,"Complex of Mollic and Umbric Leptosol, Regosol and Leptosol"
"P0776",8.1,21.73020534,41.65077684,"Complex of Chromic Luvisol on saprolite and Vertisol"
"P0777",8.1,21.7481568,41.5918805,"Complex of Humic Calcaric Regosol and Regosol"
"P0779",8.21101553097741,21.69438188,41.58151152,"Fluvisol"
