ProfID,x,y,soc_0_30,soc_30_60,soc_60_100,clay_0_30,clay_30_60,clay_60_100,ph_0_30,ph_30_60,ph_60_100,ocs_0_30,ocs_30_60,ocs_60_100
P3210,572336.3,4566320.3,2.7969892389742945,2.0104886609122987,NA,5.254038558467742,5.433631552419355,NA,6.445961441532258,6.266368447580645,NA,43.01637076875465,56.69189259440831,NA
P3211,571338.8,4565781.9,2.180974,2.180974,NA,14.2,14.2,NA,6.4,6.4,NA,71.23903009100874,71.23903009100874,NA
P3212,570737.1,4561111.2,1.2456496580508474,0.3052494576977402,NA,23.591949152542373,23.133968926553674,NA,7.1000000000000005,7.1000000000000005,NA,48.27382425880614,15.319683079468554,NA
P3213,570673.8,4558340.4,2.441995,2.441995,NA,7.9,7.9,NA,5.6,5.6,NA,66.12033065152441,66.12033065152441,NA
P3214,571766.3,4559527.8,2.1749676823701236,0.8206713974730715,0.9646162823198847,13.343827355904152,25.640108824646703,35.29423086550271,5.988516485660353,6.050107429553306,6.319528068248411,69.95663878689324,34.23240638409412,53.42840626785492
P3217,571354.6,4556392.9,2.333502246003247,0.7418586636125786,0.42363919038646736,9.080219855814208,11.307137976262544,9.38690289472236,5.502275861950359,5.603697541182838,5.700400793159431,70.59162544432054,25.756238748298724,23.399219519047758
P3218,571560.4,4554714.6,2.739479276847871,1.2013283097586223,NA,7.3484259828009835,12.864887046137046,NA,5.79202242014742,6.082362476112476,NA,84.28582508890548,45.1369576892645,NA
P3220,573032.9,4554888.7,3.0275567720711565,0.7212971894380236,0.5478196447910483,3.7941261332081684,1.3833374721241234,1.1908865853922872,5.936453184147062,6.110065061395797,6.004112251805667,84.99961600455073,25.571036717426743,26.515586022435112
P3223,573075.2,4558124.4,3.0868242577534843,1.6840923676587933,NA,7.581895680391532,7.12732604532397,NA,5.035431295882541,5.171802186402809,NA,73.8659746036795,44.89978542971453,NA
P3226,574965.6,4555646.2,4.248903580670808,1.621598106028639,0.727641201232092,3.7736876613851655,5.056246928735623,4.553851267802677,5.312579283482073,5.404115292964113,5.36209230196801,103.46414231876531,49.05934684604869,31.698012735674954
P3228,574725.1,4553749.2,2.1125451468837704,0.3262126790314691,0.36129156454696576,6.223970286168209,4.254405892182308,3.1086987376087496,5.977140445016857,5.8889751788244356,5.899695145159034,73.1781101794918,14.278701864389319,19.72930900261484
