ProfID,soiltype,X,Y
P0644,Chromic Luvisol on saprolite,20.99462825,41.58650767
P0647,Fluvisol,20.93593509,41.61877125
P0650,Albic Luvisol,20.94583609,41.5885841
P0653,Gleysol,20.96996138,41.55155701
P0655,Fluvisol,20.95815547,41.53059051
P0656,Fluvisol,20.98391807,41.53730547
P0657,Fluvisol,21.00335741,41.54268232
P0659,Fluvisol,21.01248406,41.57182964
P0660,Fluvisol,21.00633414,41.58671473
P0661,Chromic Luvisol on saprolite,21.02393008,41.58971994
P0663,Chromic Luvisol on saprolite,21.01992727,41.60040911
P0683,Cambisol,21.15579028,41.59753189
P0686,Chromic Luvisol on saprolite,21.19204063,41.56082842
P0716,Complex of Cambisol and Regosol,21.35697403,41.53058437
P0719,"Complex of Cambisol, Mollic and Umbric Leptosol and Regosol",21.50727746,41.52552629
P0721,"Complex of Cambisol, Mollic and Umbric Leptosol and Regosol",21.52769312,41.55030514
P0722,Fluvisol,21.54829914,41.55177553
P0725,"Complex of Cambisol, Mollic and Umbric Leptosol and Regosol",21.46702752,41.57700496
P0727,"Complex of Cambisol, Mollic and Umbric Leptosol and Regosol",21.5246201,41.61940196
P0730,Cambisol,21.49465434,41.72575969
P0731,Cambisol,21.53745892,41.73189749
P0732,Cambisol,21.56492678,41.73197283
P0733,Complex of Cambisol and Mollic and Umbric Leptosol,21.61914436,41.73743821
P0734,"Complex of Mollic and Umbric Leptosol, Regosol and Leptosol",21.63744747,41.73805847
P0736,"Complex of Mollic and Umbric Leptosol, Regosol and Leptosol",21.6034909,41.70776228
P0739,Complex of Chromic Luvisol on saprolite and Regosol,21.68375301,41.69588627
P0741,"Complex of Mollic and Umbric Leptosol, Regosol and Leptosol",21.68402138,41.74386853
P0743,"Complex of Humic Calcaric Regosol, Regosol and Vertisol",21.70873523,41.73356194
P0744,Complex of Mollic and Umbric Leptosol  and Leptosol,21.7207358,41.74464356
P0745,"Complex of Humic Calcaric Regosol, Regosol and Vertisol",21.70770765,41.71660422
P0747,"Complex of Humic Calcaric Regosol, Regosol and Vertisol",21.72318542,41.70471223
P0748,Vertisol,21.74855739,41.73122043
P0749,Complex of Mollic and Umbric Leptosol,21.74269781,41.69524131
P0751,Regosol,21.69231752,41.68231048
P0752,"Complex of Mollic and Umbric Leptosol, Regosol and Leptosol",21.65524862,41.69042462
P0753,"Complex of Mollic and Umbric Leptosol, Regosol and Leptosol",21.6334562,41.6890971
P0754,Regosol,21.61015197,41.68277607
P0755,"Complex of Mollic and Umbric Leptosol, Regosol and Leptosol",21.60942421,41.69475572
P0757,"Complex of Mollic and Umbric Leptosol, Regosol and Leptosol",21.63962709,41.664472
P0759,"Complex of Mollic and Umbric Leptosol, Regosol and Leptosol",21.61431115,41.64900547
P0761,Complex of Chromic Luvisol on saprolite and Regosol,21.63525518,41.62648861
